,STATION,DATE,TEMP,MAX,MIN,CELSIUS
127,RPM00098646,2017-05-08,84.20,89.42,77.00,29.00
128,RPM00098646,2017-05-09,82.94,90.32,,28.30
129,RPM00098646,2017-05-10,83.48,89.60,77.00,28.60
130,RPM00098646,2017-05-11,82.76,87.80,78.80,28.20
131,RPM00098646,2017-05-12,82.04,86.72,,27.80
132,RPM00098646,2017-05-13,82.76,88.34,78.26,28.20
133,RPM00098646,2017-05-14,84.74,89.96,79.52,29.30
134,RPM00098646,2017-05-15,83.84,89.96,,28.80
135,RPM00098646,2017-05-16,84.02,90.50,,28.90
136,RPM00098646,2017-05-17,84.56,,77.54,29.20
137,RPM00098646,2017-05-18,85.10,91.94,77.72,29.50
138,RPM00098646,2017-05-19,86.00,92.66,79.70,30.00
139,RPM00098646,2017-05-20,83.84,91.22,,28.80
140,RPM00098646,2017-05-21,85.46,93.20,76.82,29.70
141,RPM00098646,2017-05-22,82.94,89.78,,28.30
142,RPM00098646,2017-05-23,83.66,92.12,78.80,28.70
143,RPM00098646,2017-05-24,84.38,92.48,,29.10
144,RPM00098646,2017-05-25,83.66,91.40,78.80,28.70
145,RPM00098646,2017-05-26,84.20,92.30,79.16,29.00
146,RPM00098646,2017-05-27,85.46,91.58,79.52,29.70
147,RPM00098646,2017-05-28,85.46,,,29.70
148,RPM00098646,2017-05-29,86.18,91.94,,30.10
149,RPM00098646,2017-05-30,85.64,92.48,,29.80
150,RPM00098646,2017-05-31,84.74,92.48,,29.30
151,RPM00098646,2017-06-01,85.46,92.66,,29.70
152,RPM00098646,2017-06-02,86.00,93.56,78.80,30.00
153,RPM00098646,2017-06-03,86.00,94.46,,30.00
154,RPM00098646,2017-06-04,86.36,96.44,,30.20
155,RPM00098646,2017-06-05,82.94,,,28.30
156,RPM00098646,2017-06-06,82.58,,75.92,28.10
157,RPM00098646,2017-06-07,83.48,,76.64,28.60
158,RPM00098646,2017-06-08,79.52,84.20,,26.40
159,RPM00098646,2017-06-09,80.78,85.28,75.02,27.10
160,RPM00098646,2017-06-10,83.48,90.50,78.08,28.60
161,RPM00098646,2017-06-11,84.92,92.30,78.44,29.40
162,RPM00098646,2017-06-12,83.12,90.50,78.08,28.40
163,RPM00098646,2017-06-13,84.74,91.76,78.44,29.30
164,RPM00098646,2017-06-14,85.10,,,29.50
165,RPM00098646,2017-06-15,85.28,,,29.60
166,RPM00098646,2017-06-16,84.74,91.04,,29.30
167,RPM00098646,2017-06-17,83.84,90.14,,28.80
168,RPM00098646,2017-06-18,84.20,90.32,75.38,29.00
169,RPM00098646,2017-06-19,84.56,90.50,77.00,29.20
170,RPM00098646,2017-06-20,83.48,91.04,77.72,28.60
