,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1563,RP000098755,2017-04-13,80.42,87.26,,26.90
1564,RP000098755,2017-04-14,80.60,87.44,75.20,27.00
1565,RP000098755,2017-04-15,84.02,91.76,77.36,28.90
1566,RP000098755,2017-04-16,82.94,90.86,,28.30
1567,RP000098755,2017-04-17,81.86,89.24,,27.70
1568,RP000098755,2017-04-18,81.50,88.88,73.76,27.50
1569,RP000098755,2017-04-19,82.22,90.68,75.92,27.90
1570,RP000098755,2017-04-20,82.22,91.22,,27.90
1571,RP000098755,2017-04-21,83.48,,75.20,28.60
1572,RP000098755,2017-04-22,82.22,91.76,76.46,27.90
1573,RP000098755,2017-04-23,82.04,90.14,,27.80
1574,RP000098755,2017-04-24,82.40,90.50,75.20,28.00
1575,RP000098755,2017-04-25,82.58,89.06,74.84,28.10
1576,RP000098755,2017-04-26,83.12,90.68,75.92,28.40
1577,RP000098755,2017-04-27,83.12,91.76,,28.40
1578,RP000098755,2017-04-28,82.04,88.70,,27.80
1579,RP000098755,2017-04-29,83.30,92.12,75.38,28.50
1580,RP000098755,2017-04-30,83.84,94.64,77.00,28.80
1581,RP000098755,2017-05-01,83.48,,77.00,28.60
1582,RP000098755,2017-05-02,82.94,88.88,77.00,28.30
1583,RP000098755,2017-05-03,82.22,90.68,,27.90
1584,RP000098755,2017-05-04,82.94,91.58,76.10,28.30
1585,RP000098755,2017-05-05,81.86,92.48,76.10,27.70
1586,RP000098755,2017-05-06,79.52,86.36,,26.40
1587,RP000098755,2017-05-07,80.96,87.62,75.20,27.20
1588,RP000098755,2017-05-08,81.14,89.60,76.10,27.30
1589,RP000098755,2017-05-09,80.42,87.44,76.10,26.90
1590,RP000098755,2017-05-10,83.66,91.58,76.46,28.70
1591,RP000098755,2017-05-11,79.16,87.80,,26.20
1592,RP000098755,2017-05-12,78.98,83.66,,26.10
1593,RP000098755,2017-05-13,76.82,81.86,,24.90
1594,RP000098755,2017-05-14,80.60,87.98,74.66,27.00
1595,RP000098755,2017-05-15,80.42,90.50,,26.90
